pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Preclinical Alzheimer's and vascular biomarkers alter brain aging in cognitively normal adults: a MRI-based study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12682785/	XML		ep-ad.org	The study utilized baseline data from the European Prevention of Alzheimer's Dementia Longitudinal Cohort Study (EPAD LCS). Following EPAD procedures and completion of a data access request through the ADDI Workbench, researchers gained access to the EPAD LCS Version.IMI (V.IMI) dataset, which comprises final longitudinal data with cognitive, clinical, biomarker, and neuroimaging and lifestyle risk factor datasets from over 2,000 participants. For this cross-sectional study, baseline data was utilized. The dataset included 1,380 cognitively unimpaired participants (50+ years) stratified into five groups based on cerebrospinal fluid biomarkers (Aβ42, t-tau, p-tau) and vascular pathology (Fazekas scale, microbleeds). Structural MRI volumes of cortical and subcortical regions were analyzed using Nadaraya-Watson kernel regression.	Alzheimer's disease biomarkers, structural MRI, cerebrospinal fluid	Secondary		
Polygenic pathways shape white matter vulnerability to Alzheimer’s disease-related pathophysiological changes	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12604407/	XML	EPAD	www.ep-ad.org	Data were drawn from the latest data release from the European Prevention of Alzheimer's Dementia (EPAD) multicenter study. The study included 803 participants with CSF Aβ1−42 and p-Tau181 measurements available, full genotyping, and structural and diffusion MRI. EPAD general inclusion criteria were age above 50 years and no diagnosis of dementia (clinical dementia rating [CDR] score < 1). The cohort is described as a large sample of cognitively intact older adults used to examine how AD-related pathophysiological changes (Aβ1−42 and p-Tau181), polygenic pathways and their interaction are associated with white matter micro- and macrostructural properties.	Alzheimer's disease, cerebrospinal fluid biomarkers, genomic data, MRI neuroimaging	Secondary		
Blood pressure and Alzheimer’s disease biomarkers in cognitively unimpaired adults: a multicenter study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12627890/	XML	NCT02485730	clinicaltrials.gov	ALFA+ study is a unicentric, longitudinal observational study designed to explore AD early pathophysiological changes among cognitively unimpaired adults with increased genetic risk factors. Participants underwent baseline visits between 2016 and 2020, and follow-up visits between 2019 and 2023. The study included 405 participants with available AD biomarker data (CSF and/or PET), blood pressure measurements, and relevant clinical variables. ALFA+ participants had either CSF biomarkers (CSF Aβ42, Aβ40, p-tau181, t-tau) and/or Aβ PET data.	Alzheimer's disease biomarkers, cerebrospinal fluid, amyloid PET	Primary		
Blood pressure and Alzheimer’s disease biomarkers in cognitively unimpaired adults: a multicenter study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12627890/	XML	NCT02804789	clinicaltrials.gov	European Prevention of Alzheimer's Dementia Longitudinal Cohort Study (EPAD-LCS) is a multicentric European study with over 2000 participants aiming to understand early stages of AD and prevent dementia before symptom onset. Data used were from EPAD-LCS dataset V.IMI comprising 2096 EPAD participants enrolled from 2016 to 2020, with last follow-up data acquired during 2020. The study included 1104 participants with baseline CSF biomarkers (CSF Aβ42, p-tau181, t-tau), blood pressure measurements, and relevant clinical variables.	Alzheimer's disease, cerebrospinal fluid biomarkers, European cohort	Secondary		
Blood pressure and Alzheimer’s disease biomarkers in cognitively unimpaired adults: a multicenter study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12627890/	XML		doi.org	EPAD-LCS dataset V.IMI comprising 2096 EPAD participants enrolled from 2016 to 2020. Data used in preparation of this article were obtained from the EPAD-LCS data set V.IMI with last follow-up data being acquired during 2020. The dataset includes CSF biomarkers and clinical variables for cognitively unimpaired participants.	cerebrospinal fluid, Alzheimer's biomarkers, longitudinal cohort	Secondary		
Blood pressure and Alzheimer’s disease biomarkers in cognitively unimpaired adults: a multicenter study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12627890/	XML		epad.org	Amyloid Imaging to Prevent Alzheimer's Disease (AMYPAD) Prognostic and Natural History Study (PNHS) is a large-scale longitudinal study involving different European cohorts focused on evaluating the predictive value of quantitative PET amyloid imaging for AD progression. By the end of the study in 2022, 1192 prospective baseline and 227 follow-up scans had been performed. By adding 1300 PET scans through collaborations with study parent cohorts, the PNHS study included over 2700 PET images across 1624 participants. The study included 340 participants with baseline Aβ PET data, blood pressure measurements, and relevant clinical variables.	amyloid PET imaging, Alzheimer's disease, neurodegeneration	Secondary		
Early detection of Alzheimer’s disease using small RNAs. Results from the EPAD cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413721/	XML		www.epad.org	The European Prevention of Alzheimer's Disease (EPAD) clinical trial platform is a prospective, multi-center study designed to investigate biomarkers for preclinical and prodromal AD. The EPAD dataset contains more than 2096 individuals with each subject having made between 1 to 5 visits. Of these, 1934 individuals had available blood samples which were used in this study. Participants were recruited from 31 sites in 10 countries throughout Europe. During each visit, subjects performed cognitive tasks and some underwent MRI, CSF sampling, or blood donation. Ultra-deep small RNA sequencing was performed on whole blood samples using PAXgene tubes from participants across Europe with no cognitive impairment or very mild cognitive impairment (MCI), stratified by cerebrospinal fluid amyloid levels. The study analyzed 1,913 participants, 50 years or older and free of dementia diagnosis at enrollment.	Alzheimer's disease, biomarkers, blood RNA, cognitive impairment, CSF amyloid	Secondary		
Brain MRI signatures across sex and CSF Alzheimer’s disease biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12152538/	XML	ADNI	ida.loni.usc.edu	Alzheimer's Disease Neuroimaging Initiative (ADNI) database used as one of three independent validation datasets. The study analyzed MRI and CSF Alzheimer's disease biomarkers data from ADNI participants to validate findings on neurodegeneration patterns across CSF biomarker groups and associations between brain volumes and amyloid/tau status. ADNI data contributed to meta-analyses across four datasets totaling 3137 participants.	Alzheimer's disease, neuroimaging, CSF biomarkers	Secondary		
Brain MRI signatures across sex and CSF Alzheimer’s disease biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12152538/	XML	NACC	naccdata.org	National Alzheimer's Coordinating Center (NACC) database used as one of three independent validation datasets. The study validated core analyses on brain volume associations with CSF Alzheimer's disease biomarkers across NACC participants. NACC data were included in meta-analyses examining amyloid and tau associations with brain volumes across 52 brain regions.	Alzheimer's disease, cognitive assessment, biomarkers	Secondary		
Brain MRI signatures across sex and CSF Alzheimer’s disease biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12152538/	XML	EPAD	fair.addi.ad-datainitiative.org	European Prevention of Alzheimer's Dementia (EPAD) Consortium dataset used as one of three independent validation datasets. The study validated findings on neurodegeneration patterns and brain volume changes associated with CSF biomarkers in EPAD participants. EPAD data contributed to meta-analyses and sex-based analyses examining brain volumes across CSF Alzheimer's disease biomarker groups.	Alzheimer's disease prevention, neuroimaging, European cohort	Secondary		
Brain MRI signatures across sex and CSF Alzheimer’s disease biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12152538/	XML	MGB	mass general brigham healthcare system	MGB (Mass General Brigham) dataset from the MIND (MassGeneral Institute for Neurodegenerative Diseases) research biobank served as the discovery dataset. The study analyzed 306 patients aged 50+ with MRI scans and CSF biomarkers (Aβ40, Aβ42, p-Tau181) measured within 1 year. Brain segmentation was performed using SynthSeg+ pipeline on clinical MRI images. CSF biomarkers were measured using Euroimmun immunoassays to classify participants into four groups: control (A−T−&CU), A+T−, A+T+, and A−T−&CI.	clinical MRI, cerebrospinal fluid biomarkers, Alzheimer's disease	Primary		
Deep normative modelling reveals insights into early-stage Alzheimer's disease using multi-modal neuroimaging data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12080058/	XML		www.ukbiobank.ac.uk	12,844 healthy subjects from the UK Biobank were used to pre-train the deep normative model. The cohort was selected to have no neurological, psychiatric disorders or head trauma according to available ICD9 and ICD10 codes. Pre-processed FreeSurfer grey-matter volumes for 66 cortical (Desikan-Killiany atlas) and 16 subcortical brain regions, and Fractional Anisotropy (FA) and Mean Diffusivity (MD) measurements for 32 white matter tracts (John Hopkins University atlas) were used as input features to the normative model.	healthy brain MRI, structural neuroimaging, normative model training	Secondary		
Deep normative modelling reveals insights into early-stage Alzheimer's disease using multi-modal neuroimaging data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12080058/	XML	EPAD	ep-ad.org	929 subjects from the EPAD cohort were used for model analysis and validation. The dataset comprises healthy individuals recruited as a 'probability spectrum' population, covering the entire range of anticipated probabilities for Alzheimer's dementia development. The cohort was split into a 'super healthy' cohort (337 subjects) for fine-tuning and healthy holdout controls, and an 'at-risk' cohort (592 subjects) for analysis purposes. Multi-modal MRI data (T1 and diffusion MRI) and cerebrospinal fluid biomarkers (phosphorylated tau, total tau, amyloid-beta 42, and p-tau/abeta42 ratio) were extracted. Cognitive assessments included Clinical Dementia Rating (CDR) and Mini-Mental State Examination (MMSE).	Alzheimer's disease risk, cognitive decline, neuroimaging biomarkers	Secondary		
Accrual of Alzheimer's disease pathology as a function of proximity to parental dementia onset	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11865705/	XML		european prevention of alzheimer's dementia  epad  longitudinal cohort study	Data used in preparation of this article were obtained from the EPAD LCS data set V1500.0, doi:10.34688/epadlcs_v1500.0_19.11.29. The EPAD LCS is a prospective, multicenter study registered at www.clinicaltrials.gov Identifier: NCT02804789. The primary research goal of the EPAD LCS is to provide a well-phenotyped probability-spectrum population for developing and continuously improving disease models for AD in individuals without dementia. Participants were recruited from parent cohorts throughout Europe as well as clinical settings. The study included 688 participants with reported history of dementia in one or more biological parents who underwent lumbar puncture. Baseline data were used to investigate whether proximity to parental onset of dementia (PPO) predicts cerebrospinal fluid (CSF) β-amyloid (1-42) (Aβ1-42), phosphorylated tau (p-tau), and cognitive performance measured by EPAD neuropsychological examination (ENE) subscores.	Alzheimer's disease biomarkers, cerebrospinal fluid, cognitive assessment, family history	Secondary		
Association of Vascular Risk Factors and Cerebrovascular Pathology With Alzheimer Disease Pathologic Changes in Individuals Without Dementia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11450612/	XML	EPAD	ep-ad.org	The European Prevention of Alzheimer's Dementia (EPAD) cohort is a multicenter longitudinal study of nondemented participants (Clinical Dementia Rating < 1) from which data were drawn for this study. Participants underwent CSF and MRI acquisitions, with a subset having longitudinal MRI and cognitive evaluation data available. The study included 1,592 participants (mean age 65.5 ± 7.4 years; 56.16% female) evaluated for associations between vascular risk factors, cerebral small vessel disease features, and Alzheimer disease biomarkers including CSF amyloid-β (Aβ1-42) and phosphorylated tau (P-tau181), gray matter volume, and cognitive performance.	Alzheimer disease, cerebral small vessel disease, CSF biomarkers, neuroimaging	Secondary		
Validation of the brain health index in the European Prevention of Alzheimer's Dementia cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11002803/	XML	EPAD-LCS-v.IMI	portal.addi.ad-datainitiative.org	The European Prevention of Alzheimer's Disease Longitudinal Cohort Study (EPAD LCS) is a longitudinal, multi-centre, pan-European cohort study that recruited participants predominantly from various parent cohorts to create a cohort covering the full range of anticipated likelihood of Alzheimer's disease development. The current study used the EPAD-LCS-v.IMI dataset released in October 2020 and accessed via the Alzheimer's Disease Data Initiative (ADDI) workbench portal. The dataset includes participants with full complement of MRI scans (T1, T2, T2*, and T2 FLAIR sequences), core demographic information (age and gender), cognitive test scores (RBANS, MMSE, 4MT), lifestyle data, genetic information (APOE status), and medical history. Cross-sectional analysis included 1496 participants (50-88 years old, 43.32% male, predominantly Caucasian), and longitudinal analysis included 197 participants with MRI scans at baseline, 12, and 24 months.	Alzheimer's disease, neuroimaging, cognitive assessment, longitudinal cohort	Secondary		
Modifiable dementia risk factors and AT(N) biomarkers: findings from the EPAD cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10879413/	XML		www.alzheimersdata.org	Participants were drawn from the European Prevention of Alzheimer's Dementia (EPAD) Longitudinal Cohort Study (LCS), a prospective, multicenter, pan-European longitudinal cohort study. Participants were recruited across 21 different European sites and were eligible if they were at least 50 years of age, had completed at least 5 years of formal education, and did not have a dementia diagnosis at baseline. Participants underwent clinical and neurological assessments including a mini-mental state examination (MMSE), brain magnetic resonance imaging (MRI), lumbar puncture for cerebrospinal fluid (CSF), and comprehensive neuropsychological assessment. For this study, baseline data (V1) from 1,474 participants were included. All EPAD data are available via the NTKApp on the AD Workbench, designed by ADDI.	Alzheimer's disease biomarkers, cognitive assessment, neuroimaging, cerebrospinal fluid	Secondary		
Models and methods: a perspective of the impact of six IMI translational data-centric initiatives for Alzheimer’s disease and other neuropsychiatric disorders	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374208/	XML	EMIF-Platform	www.emif.eu	EMIF built a common Information Framework (EMIF-Platform) to link up and facilitate access to diverse medical and research data sources. By integrating data from various sources such as electronic health records, biobanks, and clinical trials, EMIF enabled researchers to access a wealth of diverse and large-scale data sets. In its 5 years, EMIF successfully leveraged data from more than 62 million EU adults and children through federal databases and cohorts from 7 different countries. EMIF included two therapeutic areas: AD (EMIF-AD, with a focus on pre-dementia AD) and metabolic complications of obesity (EMIF-Metabolic).	patient-level data, electronic health records, biobanks, clinical trials	Secondary		
Models and methods: a perspective of the impact of six IMI translational data-centric initiatives for Alzheimer’s disease and other neuropsychiatric disorders	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374208/	XML	EPAD-Register	ep-ad.org	EPAD pooled existing national and regional registers of individuals at risk of developing AD to create a single, pan-European register of around 24,000 people. Of these, the 6,000 deemed to be at greatest risk of AD were placed into a specialized, at-risk subject cohort that underwent standardized tests and follow-up. Finally, 1,500 of these subjects participated in early stage 'adaptive' clinical trials of therapeutics intended to prevent the progression of AD. The compiling and streamlining of these disparate datasets led to the identification of four distinct subgroups based on cognitive function.	Alzheimer's disease, pre-symptomatic patients, cognitive function	Secondary		
Models and methods: a perspective of the impact of six IMI translational data-centric initiatives for Alzheimer’s disease and other neuropsychiatric disorders	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374208/	XML	PRISM-Biomarker-Cohorts	prism-project.eu	The PRISM project carried out a range of tests on patients with neuropsychiatric disorders to determine which biological parameters can be matched with specific clinical symptoms like social dysfunction. They identified quantitative biological parameters that allowed the grouping of patients into clusters based on symptoms and underlying causes. PRISM found that social dysfunction is transdiagnostically associated with default mode network disconnectivity in schizophrenia and Alzheimer's disease. They also developed new behavioral readouts using passive remote smartphone monitoring with the aim of identifying novel digital biomarkers.	neuropsychiatric disorders, biomarkers, digital phenotyping	Primary		
Models and methods: a perspective of the impact of six IMI translational data-centric initiatives for Alzheimer’s disease and other neuropsychiatric disorders	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374208/	XML	Aetionomy-Knowledge-Base	www.aetionomy.eu	Aetionomy used a broad range of datasets, ranging from molecular to symptom data, and organized, structured, integrated them to dissect the underlying mechanistic causes in order to bring structure to the classifications. The consortium successfully demonstrated that their prototype taxonomy could be used to identify patient subgroups in Parkinson's disease (PD). These efforts resulted in an open-access knowledge base with inventories of mechanistic hypotheses that form the basis for the prototype taxonomies.	Parkinson's disease, molecular data, disease taxonomy	Secondary		
Models and methods: a perspective of the impact of six IMI translational data-centric initiatives for Alzheimer’s disease and other neuropsychiatric disorders	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374208/	XML	eTRIKS-IMI-Repository	www.etriks.org	eTRIKS is an IMI data repository that centralizes ongoing and past IMI project level metadata for translational research scientists who require information about study projects. eTRIKS places an emphasis on the findability of research study descriptions with the aim of linking global data in a way that can be optimally leveraged to improve biomedical research, creating value for public and private organizations and driving research collaboration towards precision medicine.	IMI project metadata, translational research, study descriptions	Secondary		
Models and methods: a perspective of the impact of six IMI translational data-centric initiatives for Alzheimer’s disease and other neuropsychiatric disorders	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374208/	XML	EQIPD-Quality-Tools	go-eqipd.org	The EQIPD project sought to generate simple and sustainable solutions to improve data quality in non-regulated drug discovery. One of the main outcomes of the project was a novel quality management system as well as a range of other open-access tools and learning materials. EQIPD sought to provide various stakeholders groups with resources that would facilitate collaboration and ensure generation of robust and reliable data.	preclinical data quality, drug discovery, quality management	Primary		
Amyloid PET predicts atrophy in older adults without dementia: Results from the AMYPAD Prognostic & Natural History study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12677100/	XML		fair.addi.addatainitiative.org	The AMYPAD Prognostic and Natural History Study (PNHS) is a multi-center cohort of non-demented participants (N=1585, with 1329 included in this analysis) designed to determine the value of amyloid PET in clinical and research settings. Participants underwent [18F]Flutemetamol or [18F]Florbetaben Aβ-PET and T1-weighted MRI, with longitudinal data for 684 participants (median follow-up = 3.4 years). The study examined the effect of baseline cortical amyloid-β burden on regional brain atrophy in older adults without dementia, with mean age 68.2 ± 8.78 years and 56% female. Linear mixed models assessed the effect of baseline Aβ burden through the Centiloid approach on longitudinal changes in regional gray matter volume and thickness.	amyloid PET, brain MRI, preclinical Alzheimer's disease, longitudinal neuroimaging	Primary		
Quantification Supports Amyloid PET Visual Assessment of Challenging Cases: Results from the AMYPAD Diagnostic and Patient Management Study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11705786/	XML	AMYPAD-DPMS	not specified in paper	The AMYPAD diagnostic and patient management study (DPMS) is a randomized controlled trial that recruited patients across the disease continuum, including subjective cognitive decline–plus (SCD+), mild cognitive impairment (MCI), or dementia from 8 memory clinics across Europe. The study included 741 participants with available baseline amyloid PET scans that passed quality control for quantification. Amyloid PET scans were obtained and processed centrally using GE HealthCare's AmyPype PET-only pipeline, providing global Centiloid and regional z-scores. The trial was registered with EudraCT (2017-002527-21) and approved by the Swiss institutional review board.	amyloid PET imaging, Centiloid quantification, Alzheimer's disease biomarkers	Primary		
Association Between Years of Education and Amyloid Burden in Patients With Subjective Cognitive Decline, MCI, and Alzheimer Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11033981/	XML	AMYPAD-DPMS	amypad consortium	Amyloid-PET information ([18F]Flutemetamol or [18F]Florbetaben) of individuals with SCD+, mild cognitive impairment (MCI), and AD were retrieved from the AMYPAD-DPMS cohort, a multicenter randomized controlled study. The study included 212 individuals with SCD+ (M(Age) = 69.17 years, F 42.45%), 258 individuals with MCI (M(Age) = 72.93, F 43.80%), and 195 individuals with dementia (M(Age) = 74.07, F 48.72%). Amyloid PET images were acquired within 8 months after initial screening and processed with AMYPYPE. Amyloid load was based on global Centiloid (CL) values. Educational level was indexed by formal schooling and subsequent higher education in years.	amyloid PET imaging, Alzheimer disease, cognitive decline	Secondary		
Clinical Effect of Early vs Late Amyloid Positron Emission Tomography in Memory Clinic Patients	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10167601/	XML	AMYPAD-DPMS	see supplement 4	The AMYPAD-DPMS is a prospective, multicenter, randomized clinical trial conducted across 8 European memory clinics. Participants were allocated to 3 study groups based on timing of amyloid PET: arm 1 (early, within 1 month), arm 2 (late, after 8 months), or arm 3 (free-choice). A total of 840 participants were enrolled with baseline and 3-month follow-up data available for 532 participants (272 in arm 1, 260 in arm 2). Participants had subjective cognitive decline plus (SCD+), mild cognitive impairment (MCI), or dementia. The study assessed clinical effects of amyloid PET imaging on diagnostic confidence, etiological diagnosis, and treatment planning in memory clinic patients.	amyloid PET, memory clinic, cognitive decline, Alzheimer disease	Primary		
Unraveling the molecular mechanisms in severe Alzheimer’s disease based on transcriptomic data using next generation knowledge discovery methods	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12927158/	XML	GSE53697	geo	RNA sequencing data from the dorsolateral prefrontal cortex (DLPFC) of individuals with severe Alzheimer's disease and healthy controls. The dataset was originally deposited by Scheckel et al. (2016) and derived from frozen brain tissues classified based on the Consortium to Establish a Registry for Alzheimer's Disease (CERAD) criteria. The original study included eight control subjects and nine patients with advanced or severe AD (CDR 4-5), matched for age and sex with brief postmortem intervals. The authors filtered and selected four controls and six advanced AD samples for downstream analysis using next-generation knowledge discovery methods. RNA was extracted using the TRIzol method and sequenced using an Illumina HiSeq 2500. The dataset was analyzed using GEO2R to identify 24,207 differentially expressed genes (DEGs) at P ≤0.05, further filtered to 3,103 genes using a fold change cut-off of ±1.5. WebGestalt and Ingenuity Pathway Analysis were used to identify dysregulated pathways including retrograde endocannabinoid signaling, motor proteins, oxidative phosphorylation, ribosome biogenesis, immune system activation, antigen processing and presentation, and cytokine signaling in severe AD.	RNA sequencing, Alzheimer's disease, dorsolateral prefrontal cortex, gene expression, neuroinflammation	Secondary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53697	Complex download
Leveraging genetic propensity to identify modifiable factors for the age at onset of Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12883339/	XML	ADGC	alzheimer's disease genetic consortium	The same AD genetic dataset previously used in our GWAS study for the AAO of AD was analyzed. This dataset consists of pooled genome-wide imputed genotype data from 20 cohorts of the ADGC. The analysis dataset comprises 9219 AD cases with AAO and 10,345 controls with AAE. All are of European ancestry.	Alzheimer's disease, genetic data, age at onset	Secondary		
Leveraging genetic propensity to identify modifiable factors for the age at onset of Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12883339/	XML		www.ukbiobank.ac.uk	GWAS summary statistics were obtained from large biobanks (e.g., UK Biobank (UKB) and FinnGen) and consortia. GWAS summary statistics were downloaded from the Integrative Epidemiology Unit (IEU) OpenGWAS Project database or the original result repository described in the respective publications.	GWAS summary statistics, biobank, multiple traits	Secondary		
Leveraging genetic propensity to identify modifiable factors for the age at onset of Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12883339/	XML	FinnGen	www.finngen.fi	GWAS summary statistics were obtained from large biobanks (e.g., UK Biobank (UKB) and FinnGen) and consortia. GWAS summary statistics were downloaded from the Integrative Epidemiology Unit (IEU) OpenGWAS Project database or the original result repository described in the respective publications.	GWAS summary statistics, Finnish population, genetic variants	Secondary		
Leveraging genetic propensity to identify modifiable factors for the age at onset of Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12883339/	XML		www.pgscatalog.org	The PGS Catalog is a repository for published PGS, each trained to optimize prediction for its corresponding trait. As of March 2025, 5061 PGS for 657 traits from 700 publications are available. Each PGS consists of variant weights (i.e., beta or odds ratio estimates) for variants included in the PGS. For exposures where PGS_C+T achieved nominal significance (p < 0.05) from the analysis above, we downloaded the available corresponding PGS from the PGS Catalog.	polygenic scores, published PGS, variant weights	Secondary		
Leveraging genetic propensity to identify modifiable factors for the age at onset of Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12883339/	XML		gwas.mrcieu.ac.uk	GWAS summary statistics were downloaded from the Integrative Epidemiology Unit (IEU) OpenGWAS Project database or the original result repository described in the respective publications. These exposure-GWAS summary statistics consist of beta or odds ratio (OR) estimates and p-values of genome-wide variants.	GWAS summary statistics, genome-wide variants, exposure data	Secondary		
The proportion of Alzheimer’s disease attributable to apolipoprotein E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12789039/	XML		www.ukbiobank.ac.uk	Multi-centre cohort study that recruited approximately 502,000 participants aged 39–73 years at assessment sites in England, Scotland, and Wales between 2006 and 2010. Used data from 171,105 participants aged ≥60 years. AD and all-cause dementia were ascertained from linked electronic health records including Hospital Episode Statistics, death records, and primary care records. Follow-up: 13.8 / 18.3 years (minimum/maximum).	Alzheimer's disease, dementia, electronic health records	Secondary		
The proportion of Alzheimer’s disease attributable to apolipoprotein E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12789039/	XML	FinnGen	www.fingenious.fi	Public-private research project aggregating genotypic data from Finnish biobanks with disease ascertainment via electronic health record linkage. Analysed 289,150 individuals aged ≥60 years in data release 13. Ascertainment of AD and all-cause dementia based on standardised endpoints from hospital discharge, cause of death, and drug purchase reimbursement records from 1964-2024.	Alzheimer's disease, dementia, Finnish population	Secondary		
The proportion of Alzheimer’s disease attributable to apolipoprotein E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12789039/	XML		ida.loni.usc.edu	Multi-national randomised clinical trial recruiting 4,415 participants aged 65-85 years in the US, Canada, Australia, and Japan between 2014-2017. Implemented 240-week intervention of anti-amyloid therapy solanezumab. Used baseline amyloid positron emission tomography (PET) scans to assess cerebral amyloidosis with SUVr threshold ≥1.15 indicating amyloid-β positive status.	amyloid-beta, PET imaging, presymptomatic Alzheimer's disease	Secondary		
The proportion of Alzheimer’s disease attributable to apolipoprotein E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12789039/	XML	ADGC	www.niagads.org	Case-control study with neuropathologically confirmed AD cases (N=4,018) compared to pathology-negative, cognitively intact controls (N=989), total N=5,007. AD neuropathology scored using CERAD 4-point scale for neuritic Aβ plaque severity and Braak 0-VI staging criteria for neurofibrillary tangle burden. Cases and controls assessed for dementia using DSM-IV or NINCDS/ADRDA criteria.	neuropathology, Alzheimer's disease, autopsy confirmed	Secondary		
Exploring causal relationships between epigenetic age acceleration and Alzheimer’s disease: a bidirectional Mendelian randomization study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12495807/	XML		edinburgh datashare	The data for epigenetic clocks (GrimAge, PhenoAge, HorvathAge, and HannumAge) were derived from a meta-analysis of genome-wide association studies (GWAS), which included 28 cohorts and a total of 34,710 participants of European ancestry, 57.3% of whom were women. This meta-analysis identified 137 loci associated with aging-related DNA biomarkers, which were employed as genetic instruments for the chosen clocks.	epigenetic clocks, DNA methylation, aging biomarkers	Secondary		
Exploring causal relationships between epigenetic age acceleration and Alzheimer’s disease: a bidirectional Mendelian randomization study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12495807/	XML		alzheimer disease genetics consortium  adgc 	Additional data on AD were sourced from the Alzheimer Disease Genetics Consortium (ADGC) GWAS, comprising 63,926 participants, including 41,944 cognitively normal controls and 21,982 AD cases. These robust datasets provide a strong foundation for investigating the causal associations between EAA and AD.	Alzheimer's disease, GWAS, genetic variants	Secondary		
Genome-wide association studies of Alzheimer’s disease and related disorders stratified by sex, onset age, and Apolipoprotein E genotype reveal novel risk loci in African Americans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288278/	XML	MVP	www.research.va.gov	The MVP cohort included African ancestry participants who consented to allow researchers to link genetic data from biospecimens to VA electronic medical records for identifying genetic risk factors. MVP participants completed surveys about military experiences, lifestyle factors, and health histories including dementia. ADRD cases included persons with first reported ICD code ages 60 and older who had two or more ICD codes for AD or other dementia types. After exclusions, 4,073 participants met criteria for ADRD and were included in genetic analyses. Controls were 19,648 individuals ages 65 and older without recorded dementia history. Proxy dementia cases self-reported parental history of dementia (4,385 maternal proxy cases, 2,256 paternal proxy cases, 45,970 proxy controls).	Alzheimer's disease, dementia, African ancestry, genetic variants	Primary		
Genome-wide association studies of Alzheimer’s disease and related disorders stratified by sex, onset age, and Apolipoprotein E genotype reveal novel risk loci in African Americans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288278/	XML	ADGC	www.niagads.org	The ADGC cohorts comprised multiple family-based and case-control cohorts with substantial autopsy-confirmed cases. Subjects were recruited from 18 different institutions including the Adult Changes in Thought Study, NIA Alzheimer's Disease Centers, University of Miami/Vanderbilt University, Mount Sinai School of Medicine Brain Bank, Washington Heights Inwood Columbia Aging Project, African American Alzheimer's Disease Genetics Study, MIRAGE Study, NIA-LOAD/NCRAD, Mayo Clinic, Rush University Alzheimer's disease Center, Chicago Health and Aging Project, Indianapolis Ibadan Dementia Study, and others. The combined cohorts included 2,425 AD cases and 5,069 controls (751 male cases, 1,674 female cases, 1,276 APOE-ε4 positive cases, 851 APOE-ε4 negative cases, 1,011 cases with onset <75 years, 1,414 cases with onset ≥75 years). All controls were screened for AD.	Alzheimer's disease, case-control, autopsy-confirmed, multi-center	Secondary		
